group_col,group_value,rows,positive_rate,predicted_positive_rate,mean_predicted_risk,accuracy,fp_rate_among_negatives,fn_rate_among_positives,tp,tn,fp,fn
bp_band,<120,3050,0.22655737704918033,0.05081967213114754,0.23881247551126497,0.7862295081967213,0.024586689275116574,0.8596237337192475,97,2301,58,594
bp_band,120-129,7179,0.35255606630449926,0.17035798857779635,0.3571344311254929,0.6776709848168269,0.10821858864027539,0.715527459502173,720,4145,503,1811
bp_band,130-139,2345,0.5982942430703625,0.7518123667377399,0.5965768055510924,0.6366737739872068,0.643312101910828,0.17533856022808267,1157,336,606,246
bp_band,>=140,4578,0.8431629532546964,1.0,0.8287662646997213,0.8431629532546964,1.0,0.0,3860,0,718,0
age_band,<40,1,0.0,0.0,0.10428134990937409,1.0,0.0,,0,1,0,0
age_band,40-49,4320,0.35671296296296295,0.25601851851851853,0.34913368951852747,0.8081018518518519,0.07088880892407341,0.41012329656067487,909,2582,197,632
age_band,50-59,8738,0.49141680018310824,0.4111924925612268,0.4956388564982361,0.71538109407187,0.20094509450945094,0.3712156497438286,2700,3551,893,1594
age_band,>=60,4093,0.6474468604935255,0.7378451013926215,0.6464833989788353,0.7019301246029807,0.5509355509355509,0.16037735849056603,2225,648,795,425
gender,1,11057,0.4928099846251244,0.44939857104096953,0.493116335379553,0.7368183051460613,0.21665477888730386,0.31106625068819965,3754,4393,1215,1695
gender,2,6095,0.4981132075471698,0.45118949958982774,0.49760842984088427,0.7332239540607055,0.21902582543314808,0.31488801054018445,2080,2389,670,956
cholesterol,1,12855,0.43547257876312717,0.34959159859976663,0.43850298274293315,0.7336444963049397,0.1598456662532727,0.4044301536262951,3334,6097,1160,2264
cholesterol,2,2383,0.5967268149391524,0.6005035669324381,0.5879106202701052,0.7159043222828367,0.35691987513007284,0.2348804500703235,1088,618,343,334
cholesterol,3,1914,0.7654127481713688,0.9373040752351097,0.756198458154567,0.7727272727272727,0.8507795100222717,0.03617747440273038,1412,67,382,53
