dataset,model,split,rows,positive_rate,auroc,auprc,accuracy,f1,brier,log_loss,sensitivity,specificity,tp,tn,fp,fn
cardio_clean,dummy_prior,train,51453,0.49470390453423513,0.5,0.49470390453423513,0.5052960954657649,0.0,0.24997195137281747,0.6930910822565659,0.0,1.0,0,25999,0,25454
cardio_clean,dummy_prior,test,17152,0.4946944962686567,0.5,0.4946944962686567,0.5053055037313433,0.0,0.24997185171867217,0.693090882940821,0.0,1.0,0,8667,0,8485
cardio_clean,logistic_l2,train,51453,0.49470390453423513,0.7907520599798954,0.7689891676457805,0.7273628359862399,0.707896051974013,0.1872689671302188,0.5613350344730605,0.6677928812760273,0.785684064771722,16998,20427,5572,8456
cardio_clean,logistic_l2,test,17152,0.4946944962686567,0.7930506797741812,0.7749778695425679,0.726737406716418,0.7073368716827974,0.18625228527946705,0.5576612953488586,0.6675309369475545,0.7847005884389062,5664,6801,1866,2821
cardio_clean,decision_tree_depth4,train,51453,0.49470390453423513,0.7875683839409323,0.7567716929849064,0.7282179853458496,0.7232096908277582,0.18467834637640326,0.5518000917007568,0.7177260941305885,0.7384899419208432,18269,19200,6799,7185
cardio_clean,decision_tree_depth4,test,17152,0.4946944962686567,0.7875801091644701,0.7597758806672089,0.7295942164179104,0.72458432304038,0.18443766140115941,0.5513554722095624,0.7190335886859163,0.7399330794969424,6101,6413,2254,2384
cardio_clean,random_forest,train,51453,0.49470390453423513,0.8319170481238297,0.8377547684864975,0.7515985462460887,0.7390301174068402,0.16948833057303875,0.5122524267281093,0.7109688064744244,0.7913765914073618,18097,20575,5424,7357
cardio_clean,random_forest,test,17152,0.4946944962686567,0.8024365818666553,0.7875446648611475,0.7354827425373134,0.7215368563186645,0.18008061235575842,0.539984885133618,0.6927519151443724,0.7773162570670359,5878,6737,1930,2607
cardio_clean,hist_gradient_boosting,train,51453,0.49470390453423513,0.8130135031606177,0.8034764282772398,0.7429498765863992,0.7285749466425874,0.17614065442817728,0.5299857824057648,0.6973756580498154,0.7875687526443325,17751,20476,5523,7703
cardio_clean,hist_gradient_boosting,test,17152,0.4946944962686567,0.8036930631628624,0.7892036871919764,0.7355410447761194,0.7200691187361146,0.1795084026634615,0.5384185644311219,0.6875662934590454,0.7825083650628822,5834,6782,1885,2651
heart_processed,dummy_prior,train,688,0.5537790697674418,0.5,0.5537790697674418,0.5537790697674418,0.7128157156220767,0.24710781165494863,0.6873515989325552,1.0,0.0,381,0,307,0
heart_processed,dummy_prior,test,230,0.5521739130434783,0.5,0.5521739130434783,0.5521739130434783,0.711484593837535,0.24728045932584014,0.6876982351395511,1.0,0.0,127,0,103,0
heart_processed,logistic_l2,train,688,0.5537790697674418,0.935075705113408,0.9432015373394755,0.8619186046511628,0.8771021992238034,0.0997544287368924,0.32140151010665646,0.889763779527559,0.8273615635179153,339,254,53,42
heart_processed,logistic_l2,test,230,0.5521739130434783,0.9344851311061845,0.9385910977469378,0.8913043478260869,0.9027237354085603,0.09231213031998538,0.3151452201339571,0.9133858267716536,0.8640776699029126,116,89,14,11
heart_processed,decision_tree_depth4,train,688,0.5537790697674418,0.875823950344969,0.8590916226986149,0.8212209302325582,0.8416988416988417,0.13410818126602936,0.42273720177085833,0.8582677165354331,0.7752442996742671,327,238,69,54
heart_processed,decision_tree_depth4,test,230,0.5521739130434783,0.8409143031878297,0.812088596806269,0.7913043478260869,0.8110236220472441,0.1522657476836066,0.4771725077956568,0.8110236220472441,0.7669902912621359,103,79,24,24
heart_processed,random_forest,train,688,0.5537790697674418,0.9313909051270872,0.9422100697930847,0.8531976744186046,0.8735919899874843,0.10937573236859116,0.3644169016557025,0.916010498687664,0.7752442996742671,349,238,69,32
heart_processed,random_forest,test,230,0.5521739130434783,0.9285222842290345,0.9352480262294177,0.8434782608695652,0.8646616541353384,0.11257812186234069,0.37548537225231865,0.905511811023622,0.7669902912621359,115,79,24,12
heart_processed,hist_gradient_boosting,train,688,0.5537790697674418,1.0,1.0,1.0,1.0,0.0013643020094768767,0.02201991443074811,1.0,1.0,381,307,0,0
heart_processed,hist_gradient_boosting,test,230,0.5521739130434783,0.9412888922865225,0.9374499713242794,0.8869565217391304,0.8968253968253969,0.09228575327791905,0.3421270349577094,0.889763779527559,0.883495145631068,113,91,12,14
