bootstrap_iteration,metric,value
0,auroc,0.8072174890063568
0,auprc,0.7910433563119768
0,accuracy,0.7377565298507462
0,brier,0.1779902725688986
0,sensitivity,0.6933911159263272
0,specificity,0.7794234030525721
1,auroc,0.8078287610485888
1,auprc,0.7936198857768749
1,accuracy,0.7411963619402985
1,brier,0.17693798471102826
1,sensitivity,0.6968122786304605
1,specificity,0.7844966597558166
2,auroc,0.8064759896269057
2,auprc,0.7897495028685952
2,accuracy,0.7360074626865671
2,brier,0.17865165513392728
2,sensitivity,0.6860864416814684
2,specificity,0.7844263236476399
3,auroc,0.8018090200708665
3,auprc,0.7843139984326805
3,accuracy,0.7364738805970149
3,brier,0.17981778722532063
3,sensitivity,0.6868027533823878
3,specificity,0.7844373137749255
4,auroc,0.800719270690887
4,auprc,0.7883693484463898
4,accuracy,0.7318680037313433
4,brier,0.18102192119011987
4,sensitivity,0.678391959798995
4,specificity,0.785107620709715
5,auroc,0.8070657876132283
5,auprc,0.7963852711447357
5,accuracy,0.7355993470149254
5,brier,0.1781655611650547
5,sensitivity,0.6860424235321693
5,specificity,0.7846617937115674
6,auroc,0.7990245277964729
6,auprc,0.7870920941426152
6,accuracy,0.7289528917910447
6,brier,0.18185852571147398
6,sensitivity,0.6775061410691309
6,specificity,0.7800767174241544
7,auroc,0.8016029591049297
7,auprc,0.7853687064454637
7,accuracy,0.7353661380597015
7,brier,0.1801280537949414
7,sensitivity,0.6852725985367005
7,specificity,0.7842820926480756
8,auroc,0.8040847899894886
8,auprc,0.791855508766388
8,accuracy,0.734433302238806
8,brier,0.17944683531319444
8,sensitivity,0.6856874486321475
8,specificity,0.7825130283729009
9,auroc,0.8017253495776229
9,auprc,0.7911397989565989
9,accuracy,0.7365321828358209
9,brier,0.18024367260299495
9,sensitivity,0.6871735345327916
9,specificity,0.7863418062551247
10,auroc,0.8068811486698849
10,auprc,0.7886170972128715
10,accuracy,0.7376399253731343
10,brier,0.17820891955215093
10,sensitivity,0.692919933475885
10,specificity,0.7807419280970919
11,auroc,0.8063664515260697
11,auprc,0.7934253634781525
11,accuracy,0.7372901119402985
11,brier,0.17853224548168636
11,sensitivity,0.6918604651162791
11,specificity,0.7811783585511234
12,auroc,0.8059120197641787
12,auprc,0.7927494973070418
12,accuracy,0.738164645522388
12,brier,0.17854677007811107
12,sensitivity,0.6918849391955099
12,specificity,0.7841860465116279
13,auroc,0.806181970021192
13,auprc,0.7938452388573987
13,accuracy,0.7373484141791045
13,brier,0.17865638772110523
13,sensitivity,0.692102206736353
13,specificity,0.7829548115195505
14,auroc,0.7960515267529359
14,auprc,0.7768444170975988
14,accuracy,0.7290111940298507
14,brier,0.18274232186755987
14,sensitivity,0.6817911866017342
14,specificity,0.7745333791366082
15,auroc,0.7963293324597825
15,auprc,0.7773913447308669
15,accuracy,0.7276119402985075
15,brier,0.18304121700190246
15,sensitivity,0.6813251591605753
15,specificity,0.7728950403690888
16,auroc,0.8051865838993413
16,auprc,0.7918611767740928
16,accuracy,0.7371152052238806
16,brier,0.17858427470585309
16,sensitivity,0.6849004886187582
16,specificity,0.78712475744778
17,auroc,0.8003560220744294
17,auprc,0.785677201860393
17,accuracy,0.73046875
17,brier,0.18119945214826855
17,sensitivity,0.6840117994100295
17,specificity,0.7758441857784949
18,auroc,0.7985616934123247
18,auprc,0.7848820945342168
18,accuracy,0.7285447761194029
18,brier,0.1817336269881109
18,sensitivity,0.6806535025858016
18,specificity,0.7756825543729755
