dataset,model,split,rows,positive_rate,auroc,auprc,accuracy,f1,brier,log_loss,sensitivity,specificity,tp,tn,fp,fn,group_col,group_value
cardio_clean,hist_gradient_boosting,subgroup:bp_band,3050,0.22655737704918033,0.7115260151564136,0.4503611586057373,0.7862295081967213,0.2293144208037825,0.15508943084887392,0.4810146470918053,0.14037626628075253,0.9754133107248835,97,2301,58,594,bp_band,<120
cardio_clean,hist_gradient_boosting,subgroup:bp_band,7179,0.35255606630449926,0.6793481568651986,0.5402516222298795,0.6776709848168269,0.38359083644112946,0.20649518678867143,0.5996537680340921,0.28447254049782694,0.8917814113597247,720,4145,503,1811,bp_band,120-129
cardio_clean,hist_gradient_boosting,subgroup:bp_band,2345,0.5982942430703625,0.6558939518441677,0.7340595048364116,0.6366737739872068,0.7308907138344914,0.2228634902762868,0.635767313737145,0.8246614397719173,0.35668789808917195,1157,336,606,246,bp_band,130-139
cardio_clean,hist_gradient_boosting,subgroup:bp_band,4578,0.8431629532546964,0.5757048580541805,0.8732536838348421,0.8431629532546964,0.9149087461483764,0.13124978762360456,0.4307714705247365,1.0,0.0,3860,0,718,0,bp_band,>=140
cardio_clean,hist_gradient_boosting,subgroup:age_band,1,0.0,,,1.0,0.0,0.010874599938921316,0.11012892191288391,,1.0,0,1,0,0,age_band,<40
cardio_clean,hist_gradient_boosting,subgroup:age_band,4320,0.35671296296296295,0.837674628873873,0.7713414674705483,0.8081018518518519,0.6868152625613902,0.14480500234254695,0.4576229452944601,0.5898767034393251,0.9291111910759265,909,2582,197,632,age_band,40-49
cardio_clean,hist_gradient_boosting,subgroup:age_band,8738,0.49141680018310824,0.7732356433128176,0.7642668123754847,0.71538109407187,0.6846709775580069,0.19072288987288027,0.5650181252328054,0.6287843502561714,0.799054905490549,2700,3551,893,1594,age_band,50-59
cardio_clean,hist_gradient_boosting,subgroup:age_band,4093,0.6474468604935255,0.7364863557316388,0.8195266339367553,0.7019301246029807,0.7848324514991182,0.1922362633898661,0.5670133364877521,0.839622641509434,0.4490644490644491,2225,648,795,425,age_band,>=60
cardio_clean,hist_gradient_boosting,subgroup:gender,11057,0.4928099846251244,0.809609970445702,0.7951327093133895,0.7368183051460613,0.7206757535035515,0.1774073290559716,0.5331948748838591,0.6889337493118003,0.7833452211126961,3754,4393,1215,1695,gender,1
cardio_clean,hist_gradient_boosting,subgroup:gender,6095,0.4981132075471698,0.7928697301769634,0.7796821823947377,0.7332239540607055,0.7189768406498445,0.18331998115042064,0.5478949114900364,0.6851119894598156,0.7809741745668519,2080,2389,670,956,gender,2
cardio_clean,hist_gradient_boosting,subgroup:cholesterol,12855,0.43547257876312717,0.7933951907960594,0.7481251284598265,0.7336444963049397,0.6607213634562029,0.181065492311219,0.5418050310581423,0.5955698463737049,0.8401543337467273,3334,6097,1160,2264,cholesterol,1
cardio_clean,hist_gradient_boosting,subgroup:cholesterol,2383,0.5967268149391524,0.7745634601790505,0.8203409215898516,0.7159043222828367,0.7627059235892043,0.1855186291322108,0.5517964835834389,0.7651195499296765,0.6430801248699272,1088,618,343,334,cholesterol,2
cardio_clean,hist_gradient_boosting,subgroup:cholesterol,1914,0.7654127481713688,0.6984394597018784,0.8662858778158915,0.7727272727272727,0.866523473458116,0.1615675682345421,0.49901803682907436,0.9638225255972697,0.1492204899777283,1412,67,382,53,cholesterol,3
